section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,24,2023-05-12 10:19:52.777443074,2023-05-12 10:19:53.261433074,483,645.146,537.043,6.780289167671854,-1.2097540856572946
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,25,2023-05-12 10:19:53.281465074,2023-05-12 10:19:53.517543074,236,577.923,540.962,1.7376886774063032,-1.5067486221217234
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,26,2023-05-12 10:19:53.761529074,2023-05-12 10:19:53.921745074,160,600.376,538.662,3.421846293376641,-1.3335184463393102
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,27,2023-05-12 10:19:53.957866074,2023-05-12 10:19:54.229550074,271,512.952,555.567,-3.1362249599352574,-2.6011795519574505
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,28,2023-05-12 10:19:54.329566074,2023-05-12 10:19:54.669517074,339,620.422,520.837,4.924836107390716,0.0035183484061322
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,29,2023-05-12 10:19:54.709514074,2023-05-12 10:19:54.949425074,239,721.716,481.783,12.53660210229764,2.913372776121342
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,30,2023-05-12 10:19:54.969480074,2023-05-12 10:19:55.77463074,107,672.853,491.752,8.862820459721153,2.1785571700071724
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,31,2023-05-12 10:19:55.269445074,2023-05-12 10:19:55.545494074,276,549.18,590.034,-0.4188407474443372,-5.188574848034048
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,32,2023-05-12 10:19:55.629541074,2023-05-12 10:19:55.733526074,103,762.765,486.242,15.61837819665084,2.571118658348737
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,33,2023-05-12 10:19:55.925573074,2023-05-12 10:19:56.209579074,284,678.361,408.155,9.341579956145576,8.426769938291068
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,34,2023-05-12 10:19:56.245513074,2023-05-12 10:19:56.313564074,68,633.151,400.294,5.930927906784932,9.036971553118423
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,35,2023-05-12 10:19:56.345508074,2023-05-12 10:19:56.761660074,416,646.981,452.979,6.936343189062024,5.085140209446366
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,36,2023-05-12 10:19:56.781569074,2023-05-12 10:19:57.853942074,1072,630.653,462.059,5.704193963253978,4.4083489061860455
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,37,2023-05-12 10:19:58.61462074,2023-05-12 10:19:58.221512074,160,559.77,458.282,0.3771430496953298,4.698283211854017
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,38,2023-05-12 10:19:58.269460074,2023-05-12 10:19:58.489557074,220,648.683,458.221,7.061497551889769,4.692210081019439
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,39,2023-05-12 10:19:58.509473074,2023-05-12 10:19:59.185554074,676,598.201,461.21,3.2652460957824614,4.476525878533209
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,40,2023-05-12 10:19:59.265661074,2023-05-12 10:19:59.325471074,59,572.12,387.055,1.3170985707752774,10.044902515151165
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,41,2023-05-12 10:19:59.397476074,2023-05-12 10:19:59.465553074,68,609.643,524.762,4.11631617091447,-0.2908667458585293
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,42,2023-05-12 10:19:59.593586074,2023-05-12 10:19:59.705771074,112,551.205,620.843,-0.2670177159984749,-7.499608313509368
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,43,2023-05-12 10:19:59.741509074,2023-05-12 10:19:59.813478074,71,623.714,605.794,5.192847365766262,-6.362628110684991
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,44,2023-05-12 10:19:59.885541074,2023-05-12 10:20:00.25568074,140,528.595,567.02,-1.9636336030835415,-3.4612107551228286
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,45,2023-05-12 10:20:00.65522074,2023-05-12 10:20:00.485555074,420,623.371,570.604,5.153063341618834,-3.7261770111128527
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,46,2023-05-12 10:20:00.521421074,2023-05-12 10:20:00.729497074,208,580.012,555.303,1.8952420745591476,-2.582605444941445
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,47,2023-05-12 10:20:01.1496074,2023-05-12 10:20:01.365457074,363,640.643,530.03,6.44190263071535,-0.6847940439398671
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,48,2023-05-12 10:20:01.405518074,2023-05-12 10:20:01.661419074,255,692.822,550.153,10.361069026990693,-2.183955093680675
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,49,2023-05-12 10:20:01.781478074,2023-05-12 10:20:02.97532074,316,525.891,548.617,-2.165096889037706,-2.0807008093136568
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,50,2023-05-12 10:20:02.121537074,2023-05-12 10:20:02.329486074,207,528.056,495.027,-2.002787262301215,1.9398473333109476
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,51,2023-05-12 10:20:02.449459074,2023-05-12 10:20:02.749488074,300,514.724,409.22,-3.0225293262049684,8.376839399858719
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,52,2023-05-12 10:20:02.785498074,2023-05-12 10:20:02.965466074,179,546.317,361.971,-0.6403934601249938,11.928489555579496
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,53,2023-05-12 10:20:03.89502074,2023-05-12 10:20:03.381503074,292,517.455,419.933,-2.8127131073729617,7.573550513455101
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,54,2023-05-12 10:20:03.409584074,2023-05-12 10:20:03.513473074,103,561.551,415.595,0.5136675088897057,7.902664080884957
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,55,2023-05-12 10:20:03.541462074,2023-05-12 10:20:03.713534074,172,497.595,385.271,-4.3304847547103,10.1687894045634
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,56,2023-05-12 10:20:03.733467074,2023-05-12 10:20:04.109505074,376,541.284,355.152,-1.0245396521660672,12.440095630403224
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,57,2023-05-12 10:20:04.141474074,2023-05-12 10:20:04.545505074,404,521.816,343.094,-2.5136411331833144,13.34167235843423
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,58,2023-05-12 10:20:04.569488074,2023-05-12 10:20:04.681543074,112,571.019,327.667,1.249374209314089,14.504899591800717
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,59,2023-05-12 10:20:04.749486074,2023-05-12 10:20:05.77462074,327,465.425,290.363,-6.906451521240614,17.266501145753715
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,60,2023-05-12 10:20:05.597522074,2023-05-12 10:20:05.661474074,63,349.597,277.998,-15.91739351897729,18.015432438261303
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,61,2023-05-12 10:20:05.689509074,2023-05-12 10:20:05.909497074,219,449.821,283.776,-8.128056813640505,17.744623498229377
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,62,2023-05-12 10:20:05.937545074,2023-05-12 10:20:06.41560074,104,465.569,315.838,-6.850185731584865,15.356674714818787
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,63,2023-05-12 10:20:06.109477074,2023-05-12 10:20:06.409477074,300,552.768,328.224,-0.1495503396562868,14.463559012691016
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,64,2023-05-12 10:20:06.465540074,2023-05-12 10:20:07.293494074,827,593.089,305.565,2.958004159965389,16.160679000886855
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,65,2023-05-12 10:20:07.393661074,2023-05-12 10:20:07.645575074,251,470.408,326.305,-6.462536845121514,14.575822331276184
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,66,2023-05-12 10:20:07.693523074,2023-05-12 10:20:07.765504074,71,438.668,278.732,-9.005118386636543,18.10956876474795
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,67,2023-05-12 10:20:08.57483074,2023-05-12 10:20:08.145466074,87,392.804,375.438,-12.287050268854298,10.833718019019674
