section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,32,1683879595629541074,1683879595733526074,103,762.765,486.242,15.61837819665084,2.571118658348737
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,33,1683879595925573074,1683879596209579074,284,678.361,408.155,9.341579956145576,8.426769938291068
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,34,1683879596245513074,1683879596313564074,68,633.151,400.294,5.930927906784932,9.036971553118425
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,35,1683879596345508074,1683879596761660074,416,646.981,452.979,6.936343189062024,5.085140209446366
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,36,1683879596781569074,1683879597853942074,1072,630.653,462.059,5.704193963253978,4.4083489061860455
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,37,1683879598061462074,1683879598221512074,160,559.77,458.282,0.3771430496953298,4.698283211854017
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,38,1683879598269460074,1683879598489557074,220,648.683,458.221,7.061497551889769,4.6922100810194385
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,39,1683879598509473074,1683879599185554074,676,598.201,461.21,3.2652460957824614,4.476525878533209
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,40,1683879599265661074,1683879599325471074,59,572.12,387.055,1.3170985707752774,10.044902515151165
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,41,1683879599397476074,1683879599465553074,68,609.643,524.762,4.11631617091447,-0.29086674585852934
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,42,1683879599593586074,1683879599705771074,112,551.205,620.843,-0.26701771599847496,-7.499608313509368
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,43,1683879599741509074,1683879599813478074,71,623.714,605.794,5.192847365766262,-6.362628110684991
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,44,1683879599885541074,1683879600025568074,140,528.595,567.02,-1.9636336030835417,-3.4612107551228286
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,45,1683879600065522074,1683879600485555074,420,623.371,570.604,5.153063341618834,-3.7261770111128527
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,46,1683879600521421074,1683879600729497074,208,580.012,555.303,1.8952420745591474,-2.5826054449414455
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,47,1683879601001496074,1683879601365457074,363,640.643,530.03,6.44190263071535,-0.6847940439398671
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,48,1683879601405518074,1683879601661419074,255,692.822,550.153,10.361069026990691,-2.183955093680675
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,49,1683879601781478074,1683879602097532074,316,525.891,548.617,-2.165096889037706,-2.0807008093136568
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,50,1683879602121537074,1683879602329486074,207,528.056,495.027,-2.002787262301215,1.9398473333109474
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,51,1683879602449459074,1683879602749488074,300,514.724,409.22,-3.0225293262049684,8.376839399858719
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,52,1683879602785498074,1683879602965466074,179,546.317,361.971,-0.6403934601249938,11.928489555579496
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,53,1683879603089502074,1683879603381503074,292,517.455,419.933,-2.8127131073729617,7.573550513455101
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,54,1683879603409584074,1683879603513473074,103,561.551,415.595,0.5136675088897057,7.902664080884957
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,55,1683879603541462074,1683879603713534074,172,497.595,385.271,-4.3304847547103,10.1687894045634
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,56,1683879603733467074,1683879604109505074,376,541.284,355.152,-1.0245396521660672,12.440095630403224
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,57,1683879604141474074,1683879604545505074,404,521.816,343.094,-2.5136411331833144,13.34167235843423
